activation,alg,alpha,batch_size,hidden_layer_sizes,learning_rate,learning_rate_init,momentum,n_iter_no_change,nesterovs_momentum,power_t,score,solver
relu,hyperband,4.04209583979631e-06,128,"(12, 12)",constant,0.0009794696670695395,0.960960960960961,inf,True,0.11921921921921923,0.914617076584683,sgd
relu,hyperband,6.379766808606283e-05,64,"(12, 12)",constant,0.0037288213071828336,0.7097097097097097,inf,True,0.11601601601601602,0.9201159768046391,sgd
relu,hyperband,4.271993966306777e-06,128,"(12, 6, 3, 3)",constant,0.008668379930019773,0.9139139139139139,inf,True,0.5420420420420421,0.912117576484703,sgd
relu,hyperband,0.0006162966255132943,64,"(12, 12)",constant,0.00216438908606402,0.8518518518518519,inf,True,0.8303303303303303,0.9147170565886823,sgd
relu,hyperband,0.0005184593543892913,64,"(12, 12)",constant,0.00505479682119124,0.960960960960961,inf,True,0.686986986986987,0.9132173565286943,sgd
relu,passive,4.070142453219439e-06,64,"(12, 12)",constant,0.002520004993764092,0.46546546546546547,inf,True,0.16486486486486487,0.8803239352129574,sgd
relu,passive,0.00012650337203959038,64,"(6, 6, 6, 6)",constant,0.008354528058382871,0.8378378378378378,inf,True,0.8543543543543544,0.8978204359128175,sgd
relu,passive,0.00047062248498412813,256,"(6, 6, 6, 6)",constant,0.0031441083031472647,0.9569569569569569,inf,True,0.6461461461461462,0.9025194961007799,sgd
relu,passive,2.3570694139967276e-05,64,"(12, 6, 3, 3)",constant,0.0021346630333242455,0.4954954954954955,inf,True,0.22492492492492494,0.8789242151569686,sgd
relu,passive,8.890965989529168e-05,32,"(24,)",constant,0.002920555512182745,0.6926926926926927,inf,True,0.7958958958958959,0.8899220155968807,sgd
relu,passive,5.4794723369002926e-05,64,"(4, 4, 4, 4, 4, 4)",constant,0.0030866649433372744,0.5495495495495496,inf,True,0.30420420420420424,0.7178564287142571,sgd
relu,passive,1.8761746914391196e-06,512,"(24,)",constant,0.00390473523688556,0.9159159159159159,inf,True,0.3490490490490491,0.829634073185363,sgd
relu,passive,7.028244264308353e-05,32,"(12, 6, 3, 3)",constant,0.005125186927053333,0.6206206206206206,inf,True,0.8423423423423424,0.8880223955208958,sgd
relu,passive,9.9310918137498e-05,32,"(24,)",constant,0.0020668802496290823,0.8018018018018018,inf,True,0.39789789789789787,0.8877224555088982,sgd
relu,passive,3.1952475057592136e-05,256,"(6, 6, 6, 6)",constant,0.001476281471909391,0.970970970970971,inf,True,0.32262262262262265,0.9102179564087183,sgd
relu,passive,0.0001101645949633657,256,"(4, 4, 4, 4, 4, 4)",constant,0.00790492762269642,0.24224224224224225,inf,True,0.16726726726726726,0.5708858228354329,sgd
relu,passive,4.391800892596086e-06,128,"(12, 12)",constant,0.00243998629725955,0.965965965965966,inf,True,0.6797797797797798,0.912117576484703,sgd
relu,passive,1.042360673976401e-06,128,"(24,)",constant,0.0075836779149971905,0.44844844844844844,inf,True,0.7926926926926927,0.8289342131573685,sgd
relu,passive,2.5609931002584567e-05,32,"(12, 12)",constant,0.006220048825634711,0.46446446446446443,inf,True,0.5772772772772773,0.9065186962607479,sgd
relu,passive,8.296958520834916e-05,64,"(12, 12)",constant,0.008015006961565405,0.4114114114114114,inf,True,0.17527527527527528,0.9088182363527294,sgd
relu,passive,8.470868266557403e-05,64,"(12, 6, 3, 3)",constant,0.0038689007393279753,0.3813813813813814,inf,True,0.6485485485485486,0.792241551689662,sgd
relu,passive,2.614673211801092e-06,256,"(6, 6, 6, 6)",constant,0.0042621588290153245,0.955955955955956,inf,True,0.8735735735735736,0.9072185562887423,sgd
relu,passive,7.275483529196233e-06,64,"(6, 6, 6, 6)",constant,0.007309099328602911,0.8348348348348348,inf,True,0.1904904904904905,0.9028194361127775,sgd
relu,passive,0.0001432702953409831,128,"(12, 12)",constant,0.0021248453524988827,0.6806806806806807,inf,True,0.3458458458458459,0.8888222355528894,sgd
relu,passive,2.308677994187167e-06,512,"(12, 12)",constant,0.006162966255132942,0.914914914914915,inf,True,0.7166166166166166,0.9128174365126974,sgd
relu,passive,7.742636826811277e-06,64,"(6, 6, 6, 6)",invscaling,0.005831305113526219,0.8368368368368369,inf,True,0.12162162162162163,0.9102179564087183,sgd
relu,passive,6.205728806776501e-06,64,"(12, 12)",constant,0.004126820845702952,0.07007007007007007,inf,True,0.8647647647647648,0.8976204759048191,sgd
relu,passive,4.213321743847289e-06,64,"(6, 6, 6, 6)",constant,0.0033076497807442424,0.8658658658658659,inf,True,0.3290290290290291,0.9070185962807439,sgd
relu,passive,1.9023011886689458e-06,128,"(4, 4, 4, 4, 4, 4)",constant,0.008668379930019773,0.8778778778778779,inf,True,0.34344344344344346,0.7621475704859029,sgd
relu,passive,1.8632463119315598e-06,64,"(12, 12)",constant,0.002105345242766704,0.3963963963963964,inf,True,0.6109109109109109,0.8700259948010398,sgd
relu,passive,0.00011969557023590428,64,"(12, 6, 3, 3)",constant,0.005594325706169377,0.7937937937937938,inf,True,0.5324324324324324,0.9037192561487702,sgd
relu,passive,0.00010423606739764012,64,"(12, 12)",constant,0.0047827720177274855,0.35235235235235235,inf,True,0.4355355355355356,0.9155168966206758,sgd
relu,passive,2.860595535175739e-05,256,"(4, 4, 4, 4, 4, 4)",constant,0.00937501501514529,0.8798798798798799,inf,True,0.5244244244244245,0.5347930413917217,sgd
relu,passive,8.354528058382871e-05,64,"(4, 4, 4, 4, 4, 4)",constant,0.0021945290862033138,0.95995995995996,inf,True,0.2617617617617618,0.8944211157768446,sgd
relu,passive,0.0008952657125996401,256,"(6, 6, 6, 6)",constant,0.0007093341204987997,0.9579579579579579,inf,True,0.8895895895895896,0.889622075584883,sgd
relu,passive,0.0009014776314524918,32,"(12, 12)",constant,0.004962444877628913,0.1871871871871872,inf,True,0.8247247247247247,0.9147170565886823,sgd
relu,passive,7.689283720758305e-05,64,"(12, 12)",constant,0.0020573743134329114,0.28928928928928926,inf,True,0.13443443443443442,0.8965206958608278,sgd
relu,passive,2.9612254379880313e-05,32,"(12, 12)",constant,0.00390473523688556,0.3973973973973974,inf,True,0.2585585585585586,0.9049190161967606,sgd
relu,passive,0.0004973895958790063,32,"(24,)",constant,0.0007814350607844542,0.943943943943944,inf,True,0.6221221221221221,0.8894221155768847,sgd
relu,passive,2.095662399480431e-06,64,"(12, 12)",constant,0.005858248200152536,0.3843843843843844,inf,True,0.44834834834834836,0.9023195360927815,sgd
relu,passive,0.0003824569722466999,32,"(12, 12)",constant,0.00937501501514529,0.7987987987987988,inf,True,0.2865865865865866,0.905618876224755,sgd
relu,passive,1.4426439512181589e-06,32,"(12, 12)",constant,0.004939621743878321,0.06306306306306306,inf,True,0.3634634634634635,0.9142171565686863,sgd
relu,passive,1.2563166024741215e-05,32,"(12, 6, 3, 3)",constant,0.0017508270317357234,0.960960960960961,inf,True,0.24094094094094096,0.8069386122775445,sgd
relu,passive,0.000939664831495469,128,"(6, 6, 6, 6)",constant,0.006453715401646702,0.46846846846846846,inf,True,0.3890890890890891,0.7885422915416916,sgd
relu,passive,0.00019287915080207777,64,"(6, 6, 6, 6)",constant,0.002614673211801092,0.9129129129129129,inf,True,0.6781781781781782,0.9024195160967806,sgd
