activation,alg,alpha,batch_size,hidden_layer_sizes,learning_rate,learning_rate_init,momentum,n_iter_no_change,nesterovs_momentum,power_t,solver
relu,hyperband,4.871780218794631e-06,32,"(12, 6, 3, 3)",constant,0.0018848434090337953,0.2802802802802803,inf,True,0.5804804804804805,sgd
relu,hyperband,2.3246970599856455e-05,32,"(6, 6, 6, 6)",constant,0.007109709432312438,0.3313313313313313,inf,True,0.8415415415415416,sgd
relu,hyperband,7.077010661181889e-05,32,"(12, 12)",constant,0.004126820845702952,0.7507507507507507,inf,True,0.48438438438438436,sgd
relu,hyperband,0.0003353710152002929,32,"(12, 12)",constant,0.0015530705739334601,0.8848848848848849,inf,True,0.2097097097097097,sgd
relu,hyperband,0.00011325413151528115,64,"(6, 6, 6, 6)",constant,0.0053177231778509665,0.8888888888888888,inf,True,0.21691691691691695,sgd
relu,hyperband,0.0006513490946272803,128,"(12, 12)",constant,0.001124737178364752,0.9679679679679679,inf,True,0.46756756756756757,sgd
relu,hyperband,0.0006162966255132943,512,"(12, 12)",constant,0.006852291595284057,0.7987987987987988,inf,True,0.6957957957957958,sgd
relu,hyperband,1.1723818032865997e-05,32,"(12, 12)",constant,0.0024853948574297983,0.7837837837837838,inf,True,0.1,sgd
relu,hyperband,4.838209664925957e-05,32,"(6, 6, 6, 6)",constant,0.0005504789807854967,0.980980980980981,inf,True,0.23533533533533535,sgd
relu,hyperband,1.6796748720926532e-06,64,"(12, 12)",constant,0.008510007247122246,0.9459459459459459,inf,True,0.14004004004004006,sgd
relu,hyperband,0.0001567455410205595,32,"(12, 12)",constant,0.003100926635931927,0.8288288288288288,inf,True,0.7166166166166166,sgd
relu,hyperband,5.555776222398878e-06,32,"(12, 12)",constant,0.0007159041085964889,0.8898898898898899,inf,True,0.1896896896896897,sgd
relu,hyperband,2.840883690183301e-05,32,"(12, 12)",constant,0.005724766239702178,0.8648648648648649,inf,True,0.27377377377377377,sgd
relu,hyperband,3.0442722120643058e-05,256,"(12, 12)",constant,0.005220567527846975,0.9379379379379379,inf,True,0.6677677677677678,sgd
relu,passive,1.556654359271062e-06,512,"(6, 6, 6, 6)",constant,0.0074451229107951435,0.7427427427427428,inf,True,0.2897897897897898,sgd
relu,passive,1.3744790926775367e-05,64,"(12, 12)",constant,0.002287490817355704,0.1881881881881882,inf,True,0.3282282282282283,sgd
relu,passive,5.148867450137498e-05,32,"(12, 6, 3, 3)",invscaling,0.0024968784288843266,0.8818818818818819,inf,True,0.1768768768768769,sgd
relu,passive,2.357069413996728e-06,64,"(4, 4, 4, 4, 4, 4)",constant,0.0033847728559459832,0.037037037037037035,inf,True,0.5148148148148148,sgd
relu,passive,0.0005672228971644543,64,"(4, 4, 4, 4, 4, 4)",constant,0.0024853948574297983,0.4744744744744745,inf,True,0.7062062062062062,sgd
relu,passive,4.3016357581068e-06,64,"(12, 12)",constant,0.004916903577628032,0.5925925925925926,inf,True,0.24094094094094096,sgd
relu,passive,6.9317172761554005e-06,128,"(12, 6, 3, 3)",constant,0.006220048825634711,0.9019019019019019,inf,True,0.2977977977977978,sgd
relu,passive,0.000823978568452852,64,"(12, 6, 3, 3)",constant,0.008994022174092044,0.12512512512512514,inf,True,0.6053053053053054,sgd
relu,passive,3.4716868189265596e-06,32,"(6, 6, 6, 6)",constant,0.005777790117970507,0.11511511511511512,inf,True,0.5524524524524524,sgd
relu,passive,0.0003746050032748993,64,"(24,)",constant,0.004717084690917017,0.8198198198198198,inf,True,0.7902902902902903,sgd
relu,passive,4.45295850994266e-05,256,"(12, 6, 3, 3)",constant,0.007012063589007177,0.8608608608608609,inf,True,0.10800800800800801,sgd
relu,passive,2.2612800663372794e-05,256,"(4, 4, 4, 4, 4, 4)",constant,0.0019828839491270716,0.9129129129129129,inf,True,0.3506506506506507,sgd
relu,passive,0.00018376562003881704,32,"(24,)",constant,0.009077326525210224,0.8748748748748749,inf,True,0.12322322322322324,sgd
relu,passive,1.8249932448161505e-06,32,"(12, 12)",constant,0.0027380251779278576,0.5695695695695696,inf,True,0.5380380380380381,sgd
relu,passive,4.871780218794631e-06,32,"(12, 6, 3, 3)",constant,0.0018848434090337953,0.2802802802802803,inf,True,0.5804804804804805,sgd
relu,passive,2.3246970599856455e-05,32,"(24,)",constant,0.007689283720758305,0.5565565565565566,inf,True,0.22892892892892894,sgd
relu,passive,7.742636826811277e-06,64,"(12, 12)",constant,0.0034004119327037063,0.9189189189189189,inf,True,0.5180180180180181,sgd
relu,passive,0.000823978568452852,32,"(6, 6, 6, 6)",constant,0.0036776091016010306,0.5455455455455456,inf,True,0.5740740740740741,sgd
relu,passive,5.912508413831881e-06,256,"(12, 12)",constant,0.00697981390783066,0.6256256256256256,inf,True,0.863963963963964,sgd
relu,passive,0.00013369837418249466,64,"(12, 12)",constant,0.003711671819475767,0.968968968968969,inf,True,0.8967967967967968,sgd
relu,passive,6.650018030431119e-05,64,"(24,)",constant,0.0068839520696454964,0.8508508508508509,inf,True,0.723023023023023,sgd
relu,passive,2.651083601908536e-06,128,"(24,)",constant,0.00903557834613892,0.9099099099099099,inf,True,0.24654654654654656,sgd
relu,passive,0.0006696160054853222,256,"(12, 12)",constant,0.0062776601058065,0.7017017017017017,inf,True,0.41471471471471477,sgd
relu,passive,1.6003103137387017e-05,128,"(12, 12)",constant,0.0007636298261282241,0.9289289289289289,inf,True,0.5620620620620621,sgd
relu,passive,0.00018376562003881704,32,"(12, 12)",constant,0.00263889081445751,0.6666666666666666,inf,True,0.6277277277277278,sgd
relu,passive,1.7875255259042355e-05,128,"(12, 6, 3, 3)",constant,0.00794145171902934,0.1881881881881882,inf,True,0.6957957957957958,sgd
relu,passive,0.00044222739805058973,32,"(12, 12)",constant,0.005391774640387505,0.8668668668668669,inf,True,0.4923923923923924,sgd
relu,passive,0.0003424006137971426,64,"(24,)",constant,0.006424033659394191,0.35535535535535534,inf,True,0.3522522522522523,sgd
